,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GRMZM2G046919,16.68892116,0.44915376,1.090541329,0.411863125,0.68043975,0.912096368
GRMZM2G046932,12798.9695,-0.056796664,0.40326049,-0.140843613,0.887993488,1
GRMZM2G047002,36.64517769,3.588141629,0.922981332,3.887556014,0.000101259,0.000552203
GRMZM2G450071,794.0861202,-1.040973862,0.488563732,-2.13068182,0.033115364,0.094139459
GRMZM2G149254,6.229235731,-1.557901285,1.963254293,-0.793530054,0.427469066,0.691768509
GRMZM2G149257,1709.631935,-0.226261584,0.374027619,-0.604932825,0.545223632,0.805231923
GRMZM2G450125,254.1045821,-3.652589518,0.494952632,-7.379674913,1.59E-13,2.74E-12
AC190799.2_FG010,0,NA,NA,NA,NA,NA
GRMZM2G343767,0.255903286,-1.613378249,1.960416981,-0.822977083,0.410521026,0.673697371
GRMZM2G041899,7.211931802,1.618115396,1.615186728,1.001813207,0.316433818,0.563555341
GRMZM5G849919,0,NA,NA,NA,NA,NA
GRMZM2G355846,143.0116721,4.058702715,0.851017117,4.769237464,1.85E-06,1.38E-05
GRMZM2G054111,0,NA,NA,NA,NA,NA
GRMZM5G823004,155.1600739,1.887430738,0.886010952,2.130256668,0.033150429,0.094218892
GRMZM5G820122,1282.348488,-0.315427805,0.770656614,-0.409297474,0.682321369,0.913586884
GRMZM5G860938,637.1631649,0.337813795,0.573008796,0.589543822,0.555496525,0.814417296
GRMZM5G872399,10.91361704,-5.493172842,1.923813438,-2.855356311,0.004298857,0.016111241
GRMZM2G107686,12.69713655,4.670145372,1.266203207,3.688306383,0.000225752,0.001146902
GRMZM2G107679,0.3582646,-1.886604583,1.962695165,-0.961231584,NA,NA
GRMZM2G107532,181.4886213,0.376437341,0.67606662,0.556805098,0.5776606,0.83273458
GRMZM2G407869,283.4611187,0.073369367,0.568098819,0.129148951,0.897239789,1
GRMZM2G103599,16.94939328,0.157348843,1.328684724,0.118424514,0.905731303,1
GRMZM2G170567,181.2863214,1.477531638,0.836922839,1.765433525,0.077490933,0.189679055
GRMZM2G113174,858.782315,0.991338539,0.306122471,3.238372333,0.001202138,0.005193879
GRMZM2G113239,624.3099433,-1.052956828,0.294338714,-3.57736437,0.000347076,0.001694008
GRMZM2G415390,31.04904932,0.797656316,0.785935049,1.014913786,0.310146926,0.555592228
GRMZM2G415343,273.3718741,1.74247174,0.434075874,4.014210058,5.96E-05,0.000340369
GRMZM2G470309,0.410304052,0,1.958595556,0,1,1
GRMZM5G827810,1.360993926,1.671505285,2.024981903,0.825442086,0.40912065,0.67243294
GRMZM2G435276,4.153110594,0.352686108,1.758982513,0.20050575,0.841085061,1
GRMZM5G816155,3.857321655,1.432534493,1.449679341,0.988173351,0.323067757,0.571808206
GRMZM5G837318,0.335605628,1.60199738,1.965260696,0.815157696,0.41498205,0.678558218
GRMZM2G332548,418.4257169,-0.939252869,0.374225081,-2.509860822,0.012077875,0.039798117
GRMZM2G009818,0.14873522,0,1.958595556,0,1,1
GRMZM2G178571,245.0541838,-0.930732309,0.30906326,-3.011462152,0.002599928,0.010321098
GRMZM2G062933,3.387068468,1.478975556,1.923114629,0.76905221,0.441862317,0.706877428
GRMZM2G062841,600.6380402,-0.783426491,0.331690348,-2.361921277,0.018180502,0.056582681
