"","SP_1","SP_2","SP_3","EC_1","EC_2","EC_3","Zy12_1","Zy12_2","Zy12_3","Zy24_1","Zy24_2","Zy24_3","AC_1","AC_2","AC_3","BC_1","BC_2","BC_3"
"GRMZM2G082642",125,238,176,766,389,649,1262,1472,1022,1387,1899,1927,810,1105,823,612,829,643
"AC205269.3_FG003",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G147288",1872,1771,2967,1009,970,1863,291,508,242,969,778,731,1638,1200,1327,1373,1317,1266
"GRMZM2G147279",2,3,5,23,10,15,20,15,16,26,21,48,10,4,3,4,3,6
"GRMZM5G839530",0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,2,3,0
"GRMZM5G856022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G064145",448,971,768,757,991,592,1677,2890,1599,2009,1903,2663,2411,2134,2415,1389,1717,1315
"GRMZM2G702552",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"GRMZM2G121258",0,0,0,0,0,0,86,182,161,134,286,210,385,250,443,619,336,376
"AC217665.3_FG005",6638,8173,7748,1822,3352,4513,1480,1715,1761,2018,2079,1766,2267,2348,3385,2248,2971,1791
"GRMZM2G423663",16,30,83,51,9,16,37,39,10,48,32,44,120,109,54,108,173,94
"GRMZM2G702554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G096171",15,33,6,0,1,28,10,14,78,53,17,87,5,1,4,11,8,2
"GRMZM2G435642",0,0,0,1,0,0,0,0,1,0,0,1,3,3,0,0,0,1
"GRMZM2G459230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC189694.3_FG003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC195999.3_FG005",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"GRMZM2G458084",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"GRMZM2G137413",0,0,1,728,94,304,236,394,277,467,481,748,51,1117,811,71,448,233
"GRMZM2G094871",909,1383,923,341,232,215,363,387,210,318,346,263,56,138,109,96,127,90
"GRMZM2G139740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G009019",11,8,15,194,37,40,398,343,380,449,274,529,247,207,174,197,114,123
"GRMZM2G149138",521,719,646,663,838,1207,1247,1891,1212,2451,2062,2230,3415,3131,2973,2383,2157,2442
"GRMZM2G113544",27,61,57,1,7,3,6,5,4,1,5,4,5,5,1,3,5,6
"GRMZM2G331561",0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
"GRMZM2G044773",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"GRMZM2G054109",22,102,47,587,331,442,348,814,421,987,846,454,1352,663,823,646,756,723
"GRMZM2G107021",0,0,0,0,0,0,35,153,46,112,38,0,0,16,6,43,4,0
"GRMZM2G033665",0,0,0,0,0,0,20,146,12,127,6,0,0,37,0,44,15,0
"GRMZM2G121083",0,0,3,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0
"GRMZM2G153984",3701,4210,3710,2928,1690,5979,1756,2955,1081,2596,2107,2412,4435,3169,2852,3970,2562,2837
"GRMZM2G158384",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G107771",1,2,2,0,0,0,0,5,11,1,3,3,0,1,1,4,4,3
"GRMZM2G107807",44,6,59,151,72,244,242,167,199,203,190,132,265,204,132,162,216,166
"GRMZM2G409753",3,0,0,0,0,0,0,18,0,9,0,0,0,0,0,0,6,0
"AC185530.2_FG004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G050186",199,464,171,576,199,515,320,740,693,1088,1155,838,498,754,456,343,556,230
"GRMZM2G032314",936,1244,833,331,231,587,805,758,531,953,750,593,967,691,839,528,682,569
"GRMZM2G069444",0,0,0,36,5,42,134,71,79,196,271,570,175,60,26,91,130,93
"GRMZM2G060464",0,0,0,191,147,553,294,293,201,116,111,81,77,53,88,58,83,10
"GRMZM5G860399",0,0,0,13,2,3,30,31,13,41,18,25,52,30,33,39,26,23
"GRMZM2G372633",0,0,0,133,29,27,23,0,2,6,9,39,0,0,1,0,0,0
"GRMZM2G007306",0,0,0,0,0,0,41,3,5,5,6,0,3,0,0,0,1,0
"GRMZM2G105933",80,67,112,2,24,0,0,0,0,0,0,0,0,1,0,1,1,0
"GRMZM2G047715",0,0,0,22,4,14,4,0,17,2,0,0,15,76,12,4,12,18
"GRMZM2G105579",629,867,833,270,430,348,187,345,121,172,164,121,671,553,699,498,253,509
"GRMZM2G460684",1,7,8,9,38,31,25,20,11,13,20,33,59,15,15,29,34,35
"GRMZM2G024038",62,128,72,143,58,19,6,39,0,35,29,6,74,78,100,115,67,57
"GRMZM2G022694",79,74,61,504,972,1589,819,1550,603,1563,979,927,3006,1489,2512,2145,1762,1665
"GRMZM2G013079",0,0,0,126,58,105,336,429,145,476,287,162,1327,903,1040,1302,1137,1063
"GRMZM2G081359",319,482,326,338,260,302,433,713,547,675,956,364,229,596,699,232,502,348
"GRMZM2G398795",0,2,1,80,14,9,93,117,87,64,56,32,80,122,77,53,58,49
"GRMZM2G104739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC205560.3_FG003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G104741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
