"","SP_1","SP_2","SP_3","EC_1","EC_2","EC_3","Zy12_1","Zy12_2","Zy12_3","Zy24_1","Zy24_2","Zy24_3","AC_1","AC_2","AC_3","BC_1","BC_2","BC_3"
"GRMZM2G050709",0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"GRMZM2G350841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"GRMZM2G159208",0,0,0,0,0,0,0,0,0,4,9,1,0,0,0,0,0,0
"GRMZM2G159193",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,11,2
"GRMZM2G159179",0,9,0,0,0,0,7,1,0,0,1,7,0,0,0,0,1,0
"AC218932.3_FG009",74,78,85,0,0,0,9,0,1,9,16,22,0,0,0,0,0,0
"GRMZM2G159119",0,1,0,1,0,0,4,1,3,2,3,2,0,0,1,0,0,0
"GRMZM2G434170",0,0,3,0,0,0,15,7,55,14,47,26,1,19,11,11,9,4
"AC198781.3_FG002",1,3,0,0,0,0,1,1,4,5,11,8,5,3,3,31,36,5
"GRMZM2G702950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC194104.3_FG010",0,0,0,0,0,0,0,0,8,6,18,8,3,4,5,45,54,6
"GRMZM5G881649",0,0,0,0,0,0,5,14,87,12,50,22,4,8,4,1,8,7
"GRMZM2G016370",1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"AC194104.3_FG007",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G016264",0,0,3,0,0,0,5,0,4,1,3,5,0,0,0,0,0,0
"GRMZM2G044377",0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,12,3,6
"GRMZM2G044394",28,29,30,0,0,0,4,0,0,0,0,2,0,0,0,1,0,2
"GRMZM2G044423",11,23,21,4,41,43,4,3,0,10,12,1,31,11,22,14,29,19
"GRMZM2G338454",1,0,5,0,0,0,0,0,17,14,0,0,19,1,0,0,0,31
"GRMZM2G165695",34,99,52,78,230,222,53,72,55,131,78,44,146,82,161,103,154,115
"GRMZM2G465444",0,2,0,132,192,22,129,156,113,176,402,228,501,136,325,315,346,355
"GRMZM2G066496",499,985,603,943,521,537,623,823,331,1138,987,786,543,587,507,603,469,276
"GRMZM2G366264",10,0,0,0,0,0,1,0,2,0,7,0,0,0,0,0,1,7
"GRMZM2G051637",1145,1279,1926,111,599,609,78,265,110,190,212,230,650,519,920,328,505,768
"GRMZM2G164113",183,206,403,260,156,270,207,427,110,415,266,179,241,125,91,121,165,146
"GRMZM2G464328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G020446",24,70,39,1694,807,1081,1549,2117,1047,2475,2719,2906,2567,1767,1459,1804,1576,1696
"GRMZM6G534641",8,4,12,0,4,19,5,1,0,0,1,0,39,29,55,33,23,16
"GRMZM2G113228",83,116,113,647,123,294,933,1136,747,1249,1148,1113,3365,1970,2597,2259,1623,2307
"GRMZM2G113093",76,193,56,301,255,126,39,129,53,112,117,97,155,48,94,173,134,163
"GRMZM2G113089",0,1,1,24,0,20,190,337,194,490,718,523,497,601,340,388,312,372
"GRMZM2G413275",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G113073",688,683,643,92,75,105,462,394,569,493,956,865,251,396,154,346,277,168
"GRMZM2G104310",20,2,7,4108,554,3953,3195,4745,3399,6182,4593,3519,1415,1876,754,880,1517,1178
"AC198371.3_FG011",0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0
"GRMZM2G065804",18,76,11,414,699,730,670,590,241,735,987,615,821,483,426,394,470,321
"GRMZM2G365770",6,15,12,55,45,54,64,40,53,43,43,75,13,10,4,21,18,14
"AC198371.3_FG003",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G131120",105,72,126,35,2,96,199,97,57,163,153,101,114,116,66,167,229,191
"GRMZM5G805685",0,15,0,3,0,2,30,19,6,2,0,5,0,0,0,3,0,22
"AC207755.3_FG005",5,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"GRMZM2G449197",138,303,103,13,39,44,10,9,14,28,9,5,59,46,60,45,32,29
"GRMZM2G148411",5726,9224,7334,764,549,744,366,675,269,380,373,527,498,493,452,343,448,186
"GRMZM2G148404",0,0,0,0,0,0,2,9,20,1,2,0,1,12,0,0,1,1
"GRMZM2G057753",0,0,0,0,0,0,0,1,0,2,2,1,0,4,1,0,0,0
"AC187891.3_FG006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC202107.3_FG001",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GRMZM2G180596",56,31,82,1,3,1,0,14,0,4,0,0,0,6,19,0,0,0
"GRMZM2G180618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G044317",316,608,421,69,87,116,991,938,773,437,453,575,588,664,255,581,311,235
"GRMZM2G052515",418,989,549,396,670,516,1005,1544,1120,1212,922,776,1170,952,753,594,703,433
"GRMZM2G052499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G060050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G107328",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"GRMZM2G163998",0,0,0,111,65,130,195,91,160,89,107,202,3,27,38,4,25,10
"GRMZM5G839644",353,496,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G084276",6,1,1,0,0,0,2,1,1,2,0,0,0,1,0,0,0,0
"GRMZM2G361621",0,1,1,33,6,16,88,92,77,80,66,84,32,61,36,12,17,15
"GRMZM2G031925",62,149,73,0,1,1,852,942,965,442,333,771,196,182,77,138,227,144
"GRMZM2G031656",0,37,1,0,104,43,43,65,38,216,92,58,146,191,68,156,145,224
"GRMZM2G031624",0,0,0,0,0,1,1,0,3,0,5,0,0,0,0,0,0,0
"GRMZM2G144051",2,4,4,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
"GRMZM5G858524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC191279.2_FG001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC191279.2_FG003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC187843.3_FG010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G007680",492,562,434,492,116,166,520,853,336,469,390,329,1332,825,975,450,612,693
"AC187843.3_FG001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G326663",0,0,0,6,5,10,11,1,0,8,8,2,3,2,3,8,0,1
"GRMZM2G024499",657,865,769,591,199,358,499,874,425,441,246,340,1097,810,689,428,601,505
"GRMZM2G037831",7,43,11,4,5,11,112,133,56,105,253,63,94,193,278,31,185,97
"AC187843.3_FG006",1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"GRMZM2G156506",0,0,0,6,0,0,10,73,28,14,13,4,9,6,6,9,8,24
"GRMZM2G156490",95,103,102,169,118,324,112,114,135,186,216,149,50,48,37,18,41,21
"GRMZM2G104795",1193,1365,1220,501,532,805,585,370,339,834,725,644,3855,1514,2976,2514,2037,1717
"AC198398.3_FG003",10,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
"GRMZM2G178449",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"GRMZM2G010093",3971,5637,3906,872,1011,2360,890,1386,619,919,960,886,1128,874,881,1133,956,839
"GRMZM2G033680",321,704,440,551,761,1174,398,769,240,821,777,698,705,466,387,537,528,368
"GRMZM2G136266",0,6,0,28,0,43,92,263,180,214,334,422,118,86,64,137,158,137
"GRMZM2G465833",557,1063,645,1017,665,832,777,850,624,990,665,616,383,640,604,223,558,281
"GRMZM2G163550",0,0,2,108,10,61,137,68,211,196,124,117,360,90,120,124,227,88
"GRMZM2G041317",0,0,0,1410,11,202,133,220,345,61,29,106,9,16,12,7,90,51
"GRMZM2G343437",16,14,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"GRMZM2G153409",261,362,229,349,113,129,629,816,686,701,770,641,235,266,199,197,226,221
"GRMZM2G346110",0,0,0,0,0,0,0,21,12,11,6,0,0,9,0,0,8,0
"GRMZM2G167999",233,456,449,1998,1899,2181,1894,3636,2131,3567,3156,2732,2697,2600,3246,1858,2115,1970
"GRMZM2G468799",4,30,19,368,978,700,345,793,246,570,830,447,137,754,313,373,337,285
"GRMZM2G031278",3,1,5,11,20,23,25,41,17,32,20,41,20,9,3,16,31,14
"GRMZM2G001272",60,7,32,227,137,281,512,1080,720,547,803,627,691,608,511,331,528,430
"GRMZM2G301122",0,22,0,9,37,28,28,135,22,36,48,11,180,259,221,100,221,133
"GRMZM2G301124",0,0,0,4,47,37,78,21,46,94,55,25,214,58,109,134,208,109
"GRMZM2G001466",0,1,0,74,2,38,90,56,140,27,79,124,57,15,7,52,94,52
"GRMZM5G810047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G136910",2,0,0,9,23,13,75,108,441,113,272,162,44,196,90,19,285,79
"GRMZM2G438176",635,652,892,37,93,164,22,19,9,143,189,65,364,37,129,82,85,92
"GRMZM2G472449",0,0,0,4,0,27,1,1,7,4,34,15,27,81,19,7,51,2
"GRMZM2G001904",26,25,32,257,66,60,175,119,122,114,102,88,163,116,83,35,85,73
"GRMZM2G544539",0,0,0,0,0,0,8,0,10,0,2,4,1,1,2,0,2,1
"GRMZM2G419806",0,1,0,87,128,57,161,31,33,261,278,271,59,107,39,98,53,79
"GRMZM2G118316",941,1836,1465,762,638,657,724,1019,490,1842,1581,1434,1336,986,907,1085,913,759
"GRMZM2G118286",399,526,616,1016,2118,4453,902,1005,462,1608,1338,1493,2464,1231,1483,1860,1412,1183
"GRMZM2G118214",8,26,15,0,0,0,0,9,7,0,12,0,0,0,0,2,2,0
"GRMZM2G048850",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G324131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G028432",1326,1750,1430,388,579,2077,668,1179,475,850,940,823,771,605,821,816,957,659
"GRMZM2G443495",8,30,19,0,0,8,0,7,2,3,1,0,0,1,0,0,2,0
"GRMZM2G142019",0,1,59,9,0,26,37,80,8,56,79,79,1035,848,818,874,544,443
"GRMZM5G877489",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GRMZM2G002950",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"GRMZM2G388776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM5G856076",4,16,15,83,122,115,106,173,66,176,110,99,181,92,120,79,108,90
"GRMZM2G381429",36,13,16,0,49,125,0,0,0,12,0,0,0,0,1,1,0,0
"GRMZM5G851140",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G068710",232,520,200,505,517,441,902,1353,894,1024,852,1391,625,670,569,455,524,394
"GRMZM2G046284",2,9,11,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0
"GRMZM2G347226",2661,3899,3055,7,7,34,78,71,98,55,127,48,97,72,32,52,47,24
"GRMZM2G475170",0,1,0,3,0,1,4,1,10,1,2,3,0,0,0,0,1,0
"GRMZM2G475197",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G093950",3052,5243,3577,1641,2500,5941,2005,2738,1229,2917,2708,2820,8087,3976,5214,5284,4332,4391
"GRMZM2G093895",0,10,1,23,23,35,229,283,238,319,246,487,167,110,56,136,176,94
"AC233898.1_FG004",56,208,88,0,93,77,88,60,30,265,251,28,47,60,83,24,21,100
"AC233898.1_FG003",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G320023",0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1
"GRMZM2G132273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G132286",1,1,0,131,2,8,57,104,24,58,46,95,39,24,31,38,27,20
"GRMZM2G433484",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"GRMZM2G026231",53,18,71,947,691,1009,1332,1656,1045,1736,1817,1617,846,838,577,1029,886,808
"GRMZM2G402493",37,44,78,318,35,255,178,212,108,83,129,171,35,29,13,31,90,71
"GRMZM2G103740",259,483,338,1473,1395,1279,1451,2332,1379,2269,2664,3177,2049,1485,1417,2095,1632,1476
"GRMZM2G103662",9,33,24,320,237,577,200,494,286,318,476,215,45,72,46,22,52,35
"GRMZM2G103546",1010,1227,1431,96,10,27,365,270,143,64,76,143,6,31,13,21,46,14
"GRMZM2G319435",0,0,0,0,0,0,0,10,0,0,0,0,5,0,1,0,0,5
"GRMZM2G014397",0,0,0,635,1477,2004,544,726,266,944,1217,595,548,346,397,499,549,445
"GRMZM2G005848",0,0,0,210,12,179,181,105,200,628,433,451,422,312,409,375,375,408
"GRMZM5G807054",0,1,1,6,0,0,3,1,3,1,1,2,0,2,0,2,4,1
"GRMZM5G803992",73,123,157,1949,6210,4473,2184,2724,1417,3542,2952,3038,4393,2333,2256,3213,2738,3091
"GRMZM2G418432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"GRMZM5G813470",79,149,110,218,13,464,740,802,562,624,1132,1398,112,358,488,403,729,153
"GRMZM2G076593",10,0,0,0,0,0,15,16,9,0,14,8,3,20,0,8,18,0
"GRMZM2G433162",0,0,1,0,0,4,47,118,26,28,29,15,3,8,47,2,23,6
"GRMZM2G157168",0,0,0,0,0,0,19,40,2,18,0,0,0,0,0,0,0,0
"GRMZM2G704242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G392513",1,0,2,137,7,7,134,193,109,138,102,107,106,26,38,67,44,61
"GRMZM2G392512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G413943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G122053",0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0
"GRMZM2G036508",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G036534",5,6,0,21,20,11,295,299,307,592,1154,1119,475,386,170,318,397,357
"GRMZM2G036764",0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"GRMZM2G059214",0,1,0,127,431,555,532,806,347,725,777,572,2784,2804,4650,2547,1896,2740
"GRMZM2G002542",0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0
"GRMZM2G171040",95,168,136,3,1,1,0,4,2,2,2,4,2,2,2,1,1,3
"GRMZM2G004163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G004060",0,0,0,16,5,0,463,304,340,261,560,308,55,145,122,31,163,58
"GRMZM2G094375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G082508",9,14,16,54,50,45,19,49,23,15,15,54,55,19,11,17,15,29
"AC198721.3_FG002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G102662",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"GRMZM2G001194",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0
"GRMZM2G001195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G118714",160,231,96,1128,3349,2874,1886,2042,1205,1334,1518,1451,3534,2037,2741,2497,2016,1528
"GRMZM2G432050",0,0,0,0,14,6,13,0,15,749,614,903,370,238,117,261,155,148
"GRMZM2G137407",0,1,1,2,0,0,1,1,0,0,0,0,1,3,1,1,2,5
"GRMZM2G063394",52,94,93,290,85,198,278,272,320,496,366,260,608,742,549,460,627,533
"GRMZM5G802395",19,40,13,0,52,180,0,0,0,14,20,0,0,0,0,0,0,0
"GRMZM2G704283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G704289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G015869",67,133,72,1206,4081,3267,1620,1975,930,1951,1885,1508,1936,1825,1514,1786,1817,1829
"GRMZM2G006493",78,51,79,358,145,183,590,620,770,1094,1175,834,392,326,471,289,275,282
"GRMZM2G006470",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"GRMZM2G174560",7,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"GRMZM2G174565",907,1002,1088,7,3,3,2,6,0,5,0,3,65,1,0,5,2,0
"GRMZM2G303655",149,288,339,100,532,731,74,176,48,285,278,124,176,452,546,124,207,83
"GRMZM2G426486",8,9,8,0,0,7,0,0,0,0,0,0,0,13,0,7,0,0
"GRMZM2G160279",1337,2124,1822,1074,1223,2227,909,1286,631,1214,1231,1509,808,1075,659,474,812,705
"GRMZM2G035839",242,399,302,1,21,2,7,17,43,24,18,21,25,2,1,16,1,0
"GRMZM2G110381",1138,1742,1293,780,642,1685,651,988,317,868,711,781,950,593,592,634,868,717
"GRMZM5G838435",0,8,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0
"GRMZM2G126002",2,0,0,1505,940,606,592,882,285,499,480,493,155,132,120,280,253,153
"GRMZM2G125985",0,9,1,0,0,0,2,5,5,2,0,0,0,0,0,1,0,0
"GRMZM2G125931",0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,3,0
"AC202000.4_FG006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G011746",6,2,15,363,190,849,290,756,486,562,804,668,181,316,356,663,466,295
"GRMZM2G011355",2847,3991,2943,3743,4674,3481,4689,6203,4230,6606,6346,6582,5853,4220,4428,5626,4881,5061
"GRMZM2G011136",7226,8856,7439,232,812,1872,287,643,284,462,561,177,135,1224,979,103,457,113
"GRMZM2G006042",9,2,0,2243,1417,1411,1289,2023,1399,2153,2139,1776,1539,2086,2015,1315,1099,1353
"GRMZM2G169418",32,24,22,0,0,0,4,2,1,3,5,7,2,3,3,1,1,0
"GRMZM2G447297",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G106622",44,74,79,42,3,195,1997,1101,1933,1198,3303,1216,169,360,198,55,425,187
"GRMZM2G083347",7,0,1,4,6,9,129,22,510,228,234,140,63,168,128,7,102,34
"GRMZM2G000339",17,3,16,576,548,767,762,1102,675,1100,832,1219,1265,553,495,949,619,878
"GRMZM2G000332",1,6,10,16,10,9,17,7,11,19,13,11,14,11,11,13,17,6
"GRMZM2G300995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC198773.3_FG003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G021706",0,0,0,0,0,0,0,67,12,41,17,0,0,0,0,0,0,0
"GRMZM2G418644",4278,4193,3715,65,52,44,24,6,9,2,11,18,1723,0,2,0,3,1
"GRMZM2G348992",0,1,2,1,0,0,14,3,14,10,6,9,2,5,1,1,7,2
"GRMZM2G048175",0,0,1,4,0,8,51,547,465,21,40,7,6,11,17,0,17,9
"GRMZM2G173669",0,0,0,0,0,0,0,20,0,0,0,13,0,0,0,0,0,0
"GRMZM2G027522",0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0
"GRMZM2G081541",126,165,64,2189,1686,1422,1406,2475,1310,1947,2248,2857,1542,1216,985,755,895,578
"GRMZM2G140646",11,0,0,11,5,0,0,14,15,0,1,16,2,3,0,3,6,10
"GRMZM2G437435",0,0,0,45,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"GRMZM2G380112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM5G862959",65,47,90,745,716,1056,425,663,301,810,794,583,1053,730,718,618,869,598
"GRMZM2G040389",496,504,448,2261,1292,2749,3098,4110,2322,4870,5192,4213,3792,3507,2320,3555,2975,2396
"GRMZM2G336326",0,1,0,2,3,5,0,1,1,1,0,0,0,2,0,0,1,3
"GRMZM2G088689",0,0,0,0,15,29,3,0,5,111,7,3,0,25,92,0,21,49
"GRMZM2G088974",11,4,4,342,244,240,470,653,506,700,1173,1095,608,491,553,472,503,611
"AC214517.2_FG002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G152757",2,1,2,535,178,171,662,893,401,696,497,1025,131,357,228,188,208,186
"GRMZM2G399183",0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0
"GRMZM2G180693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM5G825266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM5G831224",4234,4316,3843,0,0,0,2,1,2,0,0,0,0,0,2,0,0,0
"GRMZM5G838054",0,0,0,6,0,5,7,12,4,112,123,131,60,12,30,56,50,68
"GRMZM2G481471",14,18,21,2,3,1,3,8,0,6,0,0,36,23,13,28,19,12
"GRMZM2G181251",0,0,0,858,1041,1257,1149,1286,801,1381,1372,1062,1251,1320,1690,685,1070,776
"GRMZM2G181258",0,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0
"GRMZM2G310674",1050,1250,1163,124,2005,1439,113,417,222,738,905,493,4360,1956,2844,3530,1899,2265
"GRMZM2G009048",0,0,0,0,0,0,18,0,7,1,9,15,0,3,0,0,1,0
"GRMZM2G028307",3,4,0,20,33,52,172,34,26,111,156,50,122,632,228,58,217,153
"AC210050.3_FG006",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G091819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G091891",0,0,0,0,0,0,25,13,10,4,0,1,0,3,0,0,0,1
"GRMZM2G130127",215,388,208,303,195,251,611,993,417,812,623,694,424,594,338,296,501,434
"GRMZM2G170027",51,70,74,19,4,13,34,48,27,56,51,32,30,11,6,5,12,6
"GRMZM2G402806",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"GRMZM2G012879",32,68,71,23,21,20,36,55,30,53,38,42,30,17,16,5,16,14
"GRMZM2G070226",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GRMZM2G704403",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G047889",138,185,254,63,59,76,54,122,91,166,97,78,54,24,22,25,26,29
"GRMZM5G856142",2597,3035,2487,0,979,725,0,0,0,149,30,0,0,0,0,1,1,0
"GRMZM2G302883",167,247,199,12,14,19,63,97,23,53,46,67,50,27,12,5,36,8
"GRMZM2G145578",0,4,1,1692,884,894,1757,1916,1114,1722,1742,1745,470,632,365,431,475,484
"GRMZM5G879536",4829,6909,6118,798,2684,1221,524,1046,665,1563,1936,1467,2789,1021,1712,2144,1490,1837
"GRMZM2G009795",9,39,17,2125,704,867,1745,1634,1057,1082,1165,1672,328,298,174,310,480,327
"GRMZM2G009448",1960,2876,2312,3301,5429,6179,3253,4127,2598,4678,4454,4971,12313,6664,4909,8340,6158,6980
"GRMZM2G127386",2595,3298,2358,431,350,729,731,714,354,549,569,437,1171,1003,871,1192,1221,988
"GRMZM2G137510",0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,8,0
"GRMZM2G439860",0,0,0,4,0,4,6,3,23,5,8,8,0,2,0,0,0,3
"GRMZM2G140737",10,0,4,1647,1040,1787,2137,2622,1678,2766,3185,2968,2294,1951,1794,2182,1903,2088
"GRMZM2G046238",3,1,0,311,248,793,561,1517,509,959,398,572,494,65,275,457,535,455
"GRMZM2G136563",6,1,5,362,114,855,352,289,81,386,324,130,831,706,535,896,901,954
"AC190630.2_FG001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"GRMZM2G082271",5144,5176,6478,4654,5976,10679,3677,6213,3234,6202,6306,5728,15969,12510,18528,15999,11055,11471
"GRMZM2G704428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G015238",211,478,297,2716,3583,3037,1759,3132,989,3283,2762,2701,4104,3419,4017,3409,3239,3255
"AC214139.3_FG008",0,0,0,2,0,0,7,7,1,6,5,6,3,1,3,4,3,5
"GRMZM2G319262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G081140",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GRMZM2G068382",0,0,0,1074,852,711,564,1123,713,1389,1381,1052,735,483,528,483,540,431
"GRMZM2G068316",1,0,0,10,1,20,29,61,66,69,97,174,39,55,16,106,95,15
"AC194103.3_FG006",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"AC198699.3_FG004",0,0,0,1,62,43,2,0,0,0,1,0,1,0,0,1,0,0
"GRMZM6G007923",11,37,8,468,651,1235,580,747,292,568,584,607,442,411,240,475,515,305
"GRMZM2G115579",202,459,389,524,349,452,856,653,625,890,1217,856,632,671,441,501,571,311
"GRMZM2G169240",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G169261",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"AC199325.3_FG001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC199325.3_FG005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G106177",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G568290",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AC208649.4_FG003",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G181227",363,463,358,144,93,66,20,99,91,92,100,78,186,714,62,178,122,203
"GRMZM2G006287",6,14,5,9,0,0,93,7,15,6,0,0,0,0,0,7,5,2
"GRMZM2G006206",59,115,73,90,8,5,106,141,81,129,67,103,84,91,35,61,42,39
"GRMZM2G005947",1038,1495,1174,585,605,638,550,698,536,1172,1100,737,651,689,1041,631,678,489
"AC199058.2_FG001",11,4,2,0,2,3,1,2,0,0,3,0,2,0,8,4,5,0
"GRMZM2G152143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GRMZM2G431157",0,0,0,11,22,0,201,73,91,289,131,119,300,564,617,406,263,375
"GRMZM2G040968",2107,4161,3108,1309,1636,1903,612,1154,445,964,850,743,893,657,805,664,436,665
"AC198382.3_FG001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G331368",12744,25324,31303,3997,4399,7372,3816,7061,3898,7618,5948,6884,17309,14306,21160,14370,17497,13150
"GRMZM2G151944",241,364,388,2,56,88,42,42,13,34,61,82,167,139,92,101,120,146
"GRMZM2G454594",523,674,807,0,148,145,0,58,0,172,100,9,313,309,424,239,281,383
"GRMZM2G141948",2450,3676,3682,239,642,652,336,793,287,1264,1172,822,2007,987,1342,1075,1402,1252
"GRMZM2G087531",0,0,1,0,0,67,238,72,88,205,182,99,224,487,245,90,259,265
"GRMZM2G084005",0,10,8,56,50,30,89,69,54,55,73,160,39,26,17,12,44,15
"AC198208.3_FG002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G059010",573,646,654,229,301,280,2324,3090,1555,2680,2498,2666,6018,3367,5280,5879,3048,3609
"GRMZM2G001500",2,2,0,1640,2340,2366,1873,1465,845,1765,1905,1547,2502,1935,1967,1578,1684,1846
